c_abbrev9,c_city,c_description,c_description_len,c_destination,c_temp,cx_description_city,cx_destination_city,h_loca_latitude,h_loca_longitude,h_plc_description,h_plc_district,h_plc_identifier,h_plc_number,h_plc_reference_place,i_abbrev9,i_city,i_description,o_abbrev9,o_city,o_description,o_destination,u_nonpublic,u_plc_notes,ux_usecity_description,ux_usecity_destination
FTHL FTVL,Oakland,Foothill Blvd. & Fruitvale Ave.,31,Foothill Blvd. & Fruitvale Ave.,0,"Foothill Blvd. & Fruitvale Ave., Oakland","Foothill Blvd. & Fruitvale Ave., Oakland",37.7837457,-122.2227738,Foothill Blvd. & Fruitvale Ave.,10,FTFV,FTHLFTVL,,FTHL FTVL,Oakland,Foothill Blvd. & Fruitvale Ave.,,,Foothill Blvd. & Fruitvale Ave.,,,,1,1
INTN 34TH,Oakland,International Blvd. & 34th Ave.,31,International Blvd. & 34th Ave.,0,"International Blvd. & 34th Ave., Oakland","International Blvd. & 34th Ave., Oakland",37.7766436,-122.2238420,International Blvd. & 34th Ave.,10,IN34,INTN34TH,,INTN 34TH,Oakland,International Blvd. & 34th Ave.,,,International Blvd. & 34th Ave.,,,,1,1
HIGH HOSP,Oakland,Highland Hospital,17,Highland Hospital,2,"Highland Hospital, Oakland","Highland Hospital, Oakland",37.7993528,-122.2316900,Highland Hospital,10,HIHO,HIGHHOSP,,HIGH HOSP,Oakland,Highland Hospital,,,,,,,1,1
LONG GROS,Oakland,Longridge Road & Grosvenor Pl.,30,Longridge Road & Grosvenor Pl.,1,"Longridge Road & Grosvenor Pl., Oakland","Longridge Road & Grosvenor Pl., Oakland",37.8100300,-122.2308080,Longridge Road & Grosvenor Pl.,10,LOGR,LONGGROS,,LONG GROS,Oakland,Longridge Road & Grosvenor Pl.,,,Longridge Road & Grosvenor Pl.,,,,1,1
MAND CARL,Oakland,Mandana Blvd. & Carlston Ave.,29,Mandana Blvd. & Carlston Ave.,0,"Mandana Blvd. & Carlston Ave., Oakland","Mandana Blvd. & Carlston Ave., Oakland",37.8121897,-122.2297041,Mandana Blvd. & Carlston Ave.,10,MNCA,MANDCARL,,MAND CARL,Oakland,Mandana Blvd. & Carlston Ave.,,,,,,,1,1
OAKL SRHS,Oakland,Oakland High School,19,Oakland High School,2,Oakland High School,Oakland High School,37.8053700,-122.2368329,Oakland High School,10,OKHS,OAKLSRHS,,OAKL SRHS,Oakland,Oakland High School,,,Oakland High School,,,,,0
PARK EMER,Oakland,Park Blvd. & Emerson St.,24,Park Blvd. & Emerson St.,2,"Park Blvd. & Emerson St., Oakland","Park Blvd. & Emerson St., Oakland",37.8046302,-122.2305300,Park Blvd. & Emerson St.,10,PBEM,PARKEMER,,PARK EMER,Oakland,Park Blvd. & Emerson St.,,,,,,,1,1
PARK MACA,Oakland,Park Blvd. & MacArthur Blvd.,28,Park Blvd. & MacArthur Blvd.,2,"Park Blvd. & MacArthur Blvd., Oakland","Park Blvd. & MacArthur Blvd., Oakland",37.8041529,-122.2335003,Park Blvd. & MacArthur Blvd.,10,PKMA,PARKMACA,,PARK MACA,Oakland,Park Blvd. & MacArthur Blvd.,,,Park Blvd. & MacArthur Blvd.,,,,1,1
14TH MABL,Oakland,14th Ave. & MacArthur Blvd.,27,14th Ave. & MacArthur Blvd.,0,"14th Ave. & MacArthur Blvd., Oakland","14th Ave. & MacArthur Blvd., Oakland",37.8010095,-122.2259806,14th Ave. & MacArthur Blvd.,10,14MA,14THMABL,,14TH MABL,Oakland,14th Ave. & MacArthur Blvd.,,,14th Ave. & MacArthur Blvd.,,,,1,1
35TH BROK,Oakland,35th Ave. & Brookdale Ave.,26,35th Ave. & Brookdale Ave.,2,"35th Ave. & Brookdale Ave., Oakland","35th Ave. & Brookdale Ave., Oakland",37.7883333,-122.2098015,35th Ave. & Brookdale Ave.,10,35BR,35THBROK,,35TH BROK,Oakland,35th Ave. & Brookdale Ave.,,,,,,,1,1
38TH E.14,Oakland,38th Ave. & International Blvd.,31,38th Ave. & International Blvd.,0,"38th Ave. & International Blvd., Oakland","38th Ave. & International Blvd., Oakland",37.7790196,-122.2166932,38th Ave. & International Blvd.,10,3814,38THE.14,,38TH E.14,Oakland,38th Ave. & International Blvd.,,,38th Ave. & International Blvd.,,,,1,1
CALV SIMM,Oakland,Calvin Simmons Junior High School,33,Calvin Simmons Junior High School,0,"Calvin Simmons Junior High School, Oakland","Calvin Simmons Junior High School, Oakland",37.7843897,-122.2165021,35th Ave. & Galindo St.,10,CASI,CALVSIMM,,CALV SIMM,Oakland,35th Ave. & Galindo St.,,,Calvin Simmons Junior High School,,,,1,1
38TH BROK,Oakland,38th Ave. & Brookdale Ave.,26,38th Ave. & Brookdale Ave.,0,"38th Ave. & Brookdale Ave., Oakland","38th Ave. & Brookdale Ave., Oakland",37.7849734,-122.2082683,38th Ave. & Brookdale Ave.,10,38BR,38THBROK,,38TH BROK,Oakland,38th Ave. & Brookdale Ave.,,,,,,,1,1
38TH MACA,Oakland,38th Ave. & MacArthur Blvd.,27,38th Ave. & MacArthur Blvd.,0,"38th Ave. & MacArthur Blvd., Oakland","38th Ave. & MacArthur Blvd., Oakland",37.7902657,-122.1988128,38th Ave. & MacArthur Blvd.,10,38MA,38THMACA,,38TH MACA,Oakland,38th Ave. & MacArthur Blvd.,,,38th Ave. & MacArthur Blvd.,,,,1,1
BRJR,Oakland,Bret Harte Middle School (Oakland),34,Bret Harte Middle School (Oakland),2,"Bret Harte Middle School (Oakland), Oakland","Bret Harte Middle School (Oakland), Oakland",37.7985569,-122.2087369,Bret Harte Middle School (Oakland),10,BRJR,BRHRMDDL,,BRHR MDDL,Oakland,Bret Harte Middle School (Oakland),BRJR,,,,,,1,1
FTVL MONT,Oakland,Fruitvale Ave. & Montana St.,28,Dimond District,2,"Fruitvale Ave. & Montana St., Oakland",Dimond District,37.7986588,-122.2166467,Fruitvale Ave. & Montana St.,10,FTMO,FTVLMONT,,FTVL MONT,Oakland,Fruitvale Ave. & Montana St.,,,Fruitvale Ave. & Montana St.,Dimond District,,,1,
FTVL MACA,Oakland,Fruitvale Ave. & MacArthur Blvd.,32,Dimond District,2,"Fruitvale Ave. & MacArthur Blvd., Oakland",Dimond District,37.8001827,-122.2162578,Fruitvale Ave. & MacArthur Blvd.,10,FVMA,FTVLMACA,,FTVL MACA,Oakland,Fruitvale Ave. & MacArthur Blvd.,,,Fruitvale Ave. & MacArthur Blvd.,Dimond District,,,1,
LYMN TIFF,Oakland,Lyman Road & Tiffin Road,24,Lyman Road & Tiffin Road,0,"Lyman Road & Tiffin Road, Oakland","Lyman Road & Tiffin Road, Oakland",37.8093465,-122.2114326,Lyman Road & Tiffin Road,10,LYTF,LYMNTIFF,,LYMN TIFF,Oakland,Lyman Road & Tiffin Road,,,Lyman Road & Tiffin Road,,,,1,1
SCHL COOL,Oakland,School Ave. & Coolidge Ave.,27,School Ave. & Coolidge Ave.,0,"School Ave. & Coolidge Ave., Oakland","School Ave. & Coolidge Ave., Oakland",37.7947395,-122.2125111,School Ave. & Coolidge Ave.,10,SCCO,SCHLCOOL,,SCHL COOL,Oakland,School Ave. & Coolidge Ave.,,,,,,,1,1
35TH MACA,Oakland,35th Ave. & MacArthur Blvd.,27,35th Ave. & MacArthur Blvd.,2,"35th Ave. & MacArthur Blvd., Oakland","35th Ave. & MacArthur Blvd., Oakland",37.7938971,-122.2004458,35th Ave. & MacArthur Blvd.,10,35MA,35THMACA,,35TH MACA,Oakland,35th Ave. & MacArthur Blvd.,,,35th Ave. & MacArthur Blvd.,,,,1,1
HEAD RYCE,Oakland,Head Royce School,17,Head Royce School,2,"Head Royce School, Oakland","Head Royce School, Oakland",37.8080952,-122.2048599,Head Royce School,10,HRSC,HEADRYCE,,HEAD RYCE,Oakland,Head Royce School,,,,,,,1,1
HIGH WAY,Piedmont,Highland Ave. & Highland Way,28,Piedmont,2,"Highland Ave. & Highland Way, Piedmont",Piedmont,37.8249714,-122.2321271,Highland Ave. & Highland Way,11,HIWY,HIGHWAY,,HIGH WAY,Piedmont,Highland Ave. & Highland Way,,,,Piedmont,,,1,
LKSH PKLN,Oakland,Lakeshore Ave. & Park Lane,26,Lakeshore Ave. & Park Lane,2,"Lakeshore Ave. & Park Lane, Oakland","Lakeshore Ave. & Park Lane, Oakland",37.8159070,-122.2328363,Lakeshore Ave. & Park Lane,10,LKPA,LKSHPKLN,,LKSH PKLN,Oakland,Lakeshore Ave. & Park Lane,,,,,,,1,1
WALA LKSH,Oakland,Wala Vista Ave. & Lakeshore Ave.,32,Wala Vista Ave. & Lakeshore Ave.,2,"Wala Vista Ave. & Lakeshore Ave., Oakland","Wala Vista Ave. & Lakeshore Ave., Oakland",37.8150003,-122.2377917,Wala Vista Ave. & Lakeshore Ave.,10,WALK,WALALKSH,,WALA LKSH,Oakland,Wala Vista Ave. & Lakeshore Ave.,,,Wala Vista Ave. & Lakeshore Ave.,,,,1,1
BLAR CALV,Piedmont,Blair Ave. & Calvert Ct.,24,Blair Ave. & Calvert Ct.,0,"Blair Ave. & Calvert Ct., Piedmont","Blair Ave. & Calvert Ct., Piedmont",37.8272169,-122.2231409,Blair Ave. & Calvert Ct.,11,BLCA,BLARCALV,,BLAR CALV,Piedmont,Blair Ave. & Calvert Ct.,,,,,,,1,1
CROC HAMP,Piedmont,Crocker Ave. & Hampton Road,27,Crocker Ave. & Hampton Road,2,"Crocker Ave. & Hampton Road, Piedmont","Crocker Ave. & Hampton Road, Piedmont",37.8190001,-122.2251696,Crocker Ave. & Hampton Road,11,CRHA,CROCHAMP,,CROC HAMP,Piedmont,Crocker Ave. & Hampton Road,,,Crocker Ave. & Hampton Road,,,,1,1
GOLD ACAC,Oakland,Golden Gate Ave. & Acacia Ave.,30,Golden Gate Ave. & Acacia Ave.,0,"Golden Gate Ave. & Acacia Ave., Oakland","Golden Gate Ave. & Acacia Ave., Oakland",37.8457254,-122.2369481,Golden Gate Ave. & Acacia Ave.,10,GLGA,GOLDACAC,,GOLD ACAC,Oakland,Golden Gate Ave. & Acacia Ave.,,,Golden Gate Ave. & Acacia Ave.,,,,1,1
MORG HIGH,Piedmont,Moraga Ave. & Highland Ave.,27,Moraga Ave. & Highland Ave.,2,"Moraga Ave. & Highland Ave., Piedmont","Moraga Ave. & Highland Ave., Piedmont",37.8302382,-122.2351305,Moraga Ave. & Highland Ave.,11,MOHI,MORGHIGH,,MORG HIGH,Piedmont,Moraga Ave. & Highland Ave.,,,,,,,1,1
FLOR BDTR,Oakland,Florence Ave. & Broadway Terr.,30,Florence Ave. & Broadway Terr.,2,"Florence Ave. & Broadway Terr., Oakland","Florence Ave. & Broadway Terr., Oakland",37.8423866,-122.2289542,Florence Ave. & Broadway Terr.,10,FLBT,FLORBDTR,,FLOR BDTR,Oakland,Florence Ave. & Broadway Terr.,,,,,,,1,1
HNAM SRHS,Oakland,Holy Names High School,22,Holy Names High School,0,"Holy Names High School, Oakland","Holy Names High School, Oakland",37.8390030,-122.2300840,Holy Names High School,10,HNSR,HNAMSRHS,,HNAM SRHS,Oakland,Holy Names High School,,,Holy Names High School,,,,1,1
WARR BDTR,Oakland,Highway 13 & Broadway Terr.,27,Highway 13 & Broadway Terr.,1,"Highway 13 & Broadway Terr., Oakland","Highway 13 & Broadway Terr., Oakland",37.8420612,-122.2257125,Highway 13 & Broadway Terr.,10,WABD,WARRBDTR,,WARR BDTR,Oakland,Highway 13 & Broadway Terr.,,,Highway 13 & Broadway Terr.,,,,1,1
EST. INVE,Piedmont,Estates Dr. & Inverleith Terr.,30,Estates Dr. & Inverleith Terr.,1,"Estates Dr. & Inverleith Terr., Piedmont","Estates Dr. & Inverleith Terr., Piedmont",37.8169653,-122.2139928,Estates Dr. & Inverleith Terr.,11,ESIN,EST.INVE,,EST. INVE,Piedmont,Estates Dr. & Inverleith Terr.,,,,,,,1,1
MORG MEDU,Oakland,Moraga Ave. & Medau Pl.,23,Montclair,2,"Moraga Ave. & Medau Pl., Oakland",Montclair,37.8268952,-122.2110460,Moraga Ave. & Medau Pl.,10,MOME,MORGMEDU,,MORG MEDU,Oakland,Moraga Ave. & Medau Pl.,,,Moraga Ave. & Medau Pl.,Montclair,,,1,
PARK LEIM,Oakland,Park Blvd. & Leimert Blvd.,26,Park Blvd. & Leimert Blvd.,0,"Park Blvd. & Leimert Blvd., Oakland","Park Blvd. & Leimert Blvd., Oakland",37.8124639,-122.2150103,Park Blvd. & Leimert Blvd.,10,PALE,PARKLEIM,,PARK LEIM,Oakland,Park Blvd. & Leimert Blvd.,,,,,,,1,1
ASCO SCOU,Oakland,Ascot Dr. & Scout Road,22,Piedmont Pines,0,"Ascot Dr. & Scout Road, Oakland","Piedmont Pines, Oakland",37.8198341,-122.2005260,Ascot Dr. & Scout Road,10,ASST,ASCOSCOU,,ASCO SCOU,Oakland,Ascot Dr. & Scout Road,,,Ascot Dr. & Scout Road,Piedmont Pines,,,1,1
MONT JRHS,Oakland,Montera Middle School,21,Montera Middle School,2,"Montera Middle School, Oakland","Montera Middle School, Oakland",37.8211386,-122.2019693,Montera Middle School,10,MOJR,MONTJRHS,,MONT JRHS,Oakland,Montera Middle School,,,Montera Middle School,,,,1,1
MONT LEIM,Oakland,Monterey Blvd. & Leimert Blvd.,30,Monterey Blvd. & Leimert Blvd.,0,"Monterey Blvd. & Leimert Blvd., Oakland","Monterey Blvd. & Leimert Blvd., Oakland",37.8152453,-122.2027603,Monterey Blvd. & Leimert Blvd.,10,MOLE,MONTLEIM,,MONT LEIM,Oakland,Monterey Blvd. & Leimert Blvd.,,,,,,,1,1
MOUN MORG,Oakland,Mountain Blvd. & Moraga Ave.,28,Montclair,2,"Mountain Blvd. & Moraga Ave., Oakland",Montclair,37.8255047,-122.2095046,Mountain Blvd. & Moraga Ave.,10,MOMO,MOUNMORG,,MOUN MORG,Oakland,Mountain Blvd. & Moraga Ave.,,,,Montclair,,,1,
MTN. BDTR,Oakland,Mountain Blvd. & Broadway Terr.,31,Mountain Blvd. & Broadway Terr.,2,"Mountain Blvd. & Broadway Terr., Oakland","Mountain Blvd. & Broadway Terr., Oakland",37.8394728,-122.2197105,Mountain Blvd. & Broadway Terr.,10,MTBD,MTN.BDTR,,MTN. BDTR,Oakland,Mountain Blvd. & Broadway Terr.,,,Mountain Blvd. & Broadway Terr.,,,,1,1
THOR MTN.,Oakland,Thornhill Dr. & Mountain Blvd.,30,Thornhill Dr. & Mountain Blvd.,2,"Thornhill Dr. & Mountain Blvd., Oakland","Thornhill Dr. & Mountain Blvd., Oakland",37.8325463,-122.2144882,Thornhill Dr. & Mountain Blvd.,10,THMT,THORMTN.,,THOR MTN.,Oakland,Thornhill Dr. & Mountain Blvd.,,,Thornhill Dr. & Mountain Blvd.,,,,1,1
SNAK COLT,Oakland,Snake Road & Colton Blvd.,25,Snake Road & Colton Blvd.,0,"Snake Road & Colton Blvd., Oakland","Snake Road & Colton Blvd., Oakland",37.8326816,-122.2074856,Snake Road & Colton Blvd.,10,SNCO,SNAKCOLT,,SNAK COLT,Oakland,Snake Road & Colton Blvd.,,,Snake Road & Colton Blvd.,,,,1,1
THOR WOOD,Oakland,Thornhill Dr. & Woodhaven Way,29,Thornhill Dr. & Woodhaven Way,0,"Thornhill Dr. & Woodhaven Way, Oakland","Thornhill Dr. & Woodhaven Way, Oakland",37.8416473,-122.2088629,Thornhill Dr. & Woodhaven Way,10,THWO,THORWOOD,,THOR WOOD,Oakland,Thornhill Dr. & Woodhaven Way,,,Thornhill Dr. & Woodhaven Way,,,,1,1
SACR ASHB,Berkeley,Sacramento St. & Ashby Ave.,27,Sacramento St. & Ashby Ave.,2,"Sacramento St. & Ashby Ave., Berkeley","Sacramento St. & Ashby Ave., Berkeley",37.8532544,-122.2790850,Sacramento St. & Ashby Ave.,03,SAAS,SACRASHB,,SACR ASHB,Berkeley,Sacramento St. & Ashby Ave.,,,,,,,1,1
ASHB BART,Berkeley,Ashby BART,10,Ashby BART,2,"Ashby BART, Berkeley","Ashby BART, Berkeley",37.8540659,-122.2698269,Ashby BART,03,ASBA,ASHBBART,,ASHB BART,Berkeley,Ashby BART,,,Ashby BART,,,,1,1
SHAT ALTZ,Oakland,Shattuck Ave. & Alcatraz Ave.,29,Shattuck Ave. & Alcatraz Ave.,2,"Shattuck Ave. & Alcatraz Ave., Oakland","Shattuck Ave. & Alcatraz Ave., Oakland",37.8495166,-122.2656406,Shattuck Ave. & Alcatraz Ave.,10,SHAL,SHATALTZ,,SHAT ALTZ,Oakland,Shattuck Ave. & Alcatraz Ave.,,,,,,,1,1
MLK MDDL,Berkeley,Martin Luther King Jr. Middle School,36,Martin Luther King Jr. Middle School,0,"Martin Luther King Jr. Middle School, Berkeley","Martin Luther King Jr. Middle School, Berkeley",37.8808261,-122.2777446,Martin Luther King Jr. Middle School,03,MKMD,MLK MDDL,,MLK MDDL,Berkeley,Martin Luther King Jr. Middle School,,,Martin Luther King Jr. Middle School,,,,1,1
MONT HOPK,Berkeley,Monterey Ave. & Hopkins St.,27,Monterey Ave. & Hopkins St.,2,"Monterey Ave. & Hopkins St., Berkeley","Monterey Ave. & Hopkins St., Berkeley",37.8817851,-122.2820045,Monterey Ave. & Hopkins St.,03,MOHO,MONTHOPK,,MONT HOPK,Berkeley,Monterey Ave. & Hopkins St.,,,,,,,1,1
SACR UNIV,Berkeley,Sacramento St. & University Ave.,32,Sacramento St. & University Ave.,2,"Sacramento St. & University Ave., Berkeley","Sacramento St. & University Ave., Berkeley",37.8702671,-122.2822964,Sacramento St. & University Ave.,03,SAUN,SACRUNIV,,SACR UNIV,Berkeley,Sacramento St. & University Ave.,,,Sacramento St. & University Ave.,,,,1,1
BERK BART,Berkeley,Downtown Berkeley BART,22,Downtown Berkeley,1,Downtown Berkeley BART,Downtown Berkeley,37.8693190,-122.2688167,Downtown Berkeley BART,03,BEBA,BERKBART,ALSH,BERK BART,Berkeley,Downtown Berkeley BART,,,Downtown Berkeley BART,Downtown Berkeley,,,,0
BKLY OXFD,Berkeley,Berkeley Way & Oxford St.,25,Downtown Berkeley,0,Berkeley Way & Oxford St.,Downtown Berkeley,37.8732536,-122.2665041,Berkeley Way & Oxford St.,03,BKOX,BKLYOXFD,,BKLY OXFD,Berkeley,Berkeley Way & Oxford St.,,,Berkeley Way & Oxford St.,Downtown Berkeley,,,,
CNTR SHAT,Berkeley,Center St. & Shattuck Ave.,26,Downtown Berkeley,2,Center St. & Shattuck Ave.,Downtown Berkeley,37.8705266,-122.2678653,Center St. & Shattuck Ave.,03,CSSH,CNTRSHAT,,CNTR SHAT,Berkeley,Center St. & Shattuck Ave.,,,,Downtown Berkeley,,,,0
HRST SHAT,Berkeley,Hearst Ave. & Shattuck Ave.,27,U.C. Campus,2,"Hearst Ave. & Shattuck Ave., Berkeley",U.C. Campus,37.8738394,-122.2681642,Hearst Ave. & Shattuck Ave.,03,HRSH,HRSTSHAT,,HRST SHAT,Berkeley,Hearst Ave. & Shattuck Ave.,,,,U.C. Campus,,,1,
OXFD ADSN,Berkeley,Oxford St. & Addison St.,24,Downtown Berkeley,2,"Oxford St. & Addison St., Berkeley",Downtown Berkeley,37.8713176,-122.2661812,Oxford St. & Addison St.,03,OXAD,OXFDADSN,,OXFD ADSN,Berkeley,Oxford St. & Addison St.,,,Oxford St. & Addison St.,Downtown Berkeley,,,1,
UNIV CALI,Berkeley,U.C. Berkeley West Entrance,27,U.C. Berkeley West Entrance,0,U.C. Berkeley West Entrance,U.C. Berkeley West Entrance,37.8717766,-122.2650396,U.C. Berkeley West Entrance,03,UCLO,UNIVCALI,,UNIV CALI,Berkeley,U.C. Berkeley West Entrance,,,U.C. Berkeley West Entrance,,,,,0
UCBE LOOP,Berkeley,U.C. Berkeley West Entrance,27,U.C. Berkeley West Entrance,0,U.C. Berkeley West Entrance,U.C. Berkeley West Entrance,37.8717766,-122.2650396,U.C. Berkeley West Entrance,03,UCLP,UCBELOOP,,UCBE LOOP,Berkeley,U.C. Berkeley West Entrance,,,U.C. Berkeley West Entrance,,,,,0
UNIV SHAT,Berkeley,University Ave. & Shattuck Ave.,31,University Ave. & Shattuck Ave.,2,"University Ave. & Shattuck Ave., Berkeley","University Ave. & Shattuck Ave., Berkeley",37.8722525,-122.2684381,University Ave. & Shattuck Ave.,03,UNSH,UNIVSHAT,,UNIV SHAT,Berkeley,University Ave. & Shattuck Ave.,,,University Ave. & Shattuck Ave.,,,,1,1
CEDR SHAT,Berkeley,Cedar St. & Shattuck Ave.,25,Cedar St. & Shattuck Ave.,0,"Cedar St. & Shattuck Ave., Berkeley","Cedar St. & Shattuck Ave., Berkeley",37.8783794,-122.2694730,Cedar St. & Shattuck Ave.,03,CESH,CEDRSHAT,,CEDR SHAT,Berkeley,Cedar St. & Shattuck Ave.,,,,,,,1,1
HRST OXFD,Berkeley,Hearst Ave. & Oxford St.,24,Downtown Berkeley,0,"Hearst Ave. & Oxford St., Berkeley","Downtown Berkeley, Berkeley",37.8742285,-122.2652170,Hearst Ave. & Oxford St.,03,HROX,HRSTOXFD,,HRST OXFD,Berkeley,Hearst Ave. & Oxford St.,,,,Downtown Berkeley,,,1,1
SHAT ROSE,Berkeley,Shattuck Ave. & Rose St.,24,Shattuck Ave. & Rose St.,0,"Shattuck Ave. & Rose St., Berkeley","Shattuck Ave. & Rose St., Berkeley",37.8817863,-122.2702352,Shattuck Ave. & Rose St.,03,SHRO,SHATROSE,,SHAT ROSE,Berkeley,Shattuck Ave. & Rose St.,,,,,,,1,1
COLL ASHB,Berkeley,College Ave. & Ashby Ave.,25,College Ave. & Ashby Ave.,2,"College Ave. & Ashby Ave., Berkeley","College Ave. & Ashby Ave., Berkeley",37.8570416,-122.2529214,College Ave. & Ashby Ave.,03,COAS,COLLASHB,,COLL ASHB,Berkeley,College Ave. & Ashby Ave.,,,,,,,1,1
TELE ALTZ,Oakland,Telegraph Ave. & Alcatraz Ave.,30,Telegraph Ave. & Alcatraz Ave.,2,"Telegraph Ave. & Alcatraz Ave., Oakland","Telegraph Ave. & Alcatraz Ave., Oakland",37.8504259,-122.2605092,Telegraph Ave. & Alcatraz Ave.,10,TEAL,TELEALTZ,,TELE ALTZ,Oakland,Telegraph Ave. & Alcatraz Ave.,,,,,,,1,1
TELE ASHB,Berkeley,Telegraph Ave. & Ashby Ave.,27,Telegraph Ave. & Ashby Ave.,0,"Telegraph Ave. & Ashby Ave., Berkeley","Telegraph Ave. & Ashby Ave., Berkeley",37.8564047,-122.2597868,Telegraph Ave. & Ashby Ave.,03,TEAS,TELEASHB,,TELE ASHB,Berkeley,Telegraph Ave. & Ashby Ave.,,,,,,,1,1
COLL PREP,Oakland,College Preparatory School,26,College Preparatory School,2,"College Preparatory School, Oakland","College Preparatory School, Oakland",37.8489053,-122.2411994,College Preparatory School,10,COPR,COLLPREP,,COLL PREP,Oakland,College Preparatory School,,,,,,,1,1
ASHB CLAR,Berkeley,Ashby Ave. & Claremont Ave.,27,Ashby Ave. & Claremont Ave.,0,"Ashby Ave. & Claremont Ave., Berkeley","Ashby Ave. & Claremont Ave., Berkeley",37.8580885,-122.2455943,Ashby Ave. & Claremont Ave.,03,ASCL,ASHBCLAR,,ASHB CLAR,Berkeley,Ashby Ave. & Claremont Ave.,,,,,,,1,1
DOMI ASHB,Berkeley,Domingo Ave. & Ashby Ave.,25,Domingo Ave. & Ashby Ave.,2,"Domingo Ave. & Ashby Ave., Berkeley","Domingo Ave. & Ashby Ave., Berkeley",37.8580271,-122.2437885,Domingo Ave. & Ashby Ave.,03,DOAS,DOMIASHB,,DOMI ASHB,Berkeley,Domingo Ave. & Ashby Ave.,,,,,,,1,1
BANC COLL,Berkeley,Bancroft Way & College Ave.,27,Bancroft Way & College Ave.,0,"Bancroft Way & College Ave., Berkeley","Bancroft Way & College Ave., Berkeley",37.8692940,-122.2551292,Bancroft Way & College Ave.,03,BACO,BANCCOLL,,BANC COLL,Berkeley,Bancroft Way & College Ave.,,,,,,,1,1
BANC DANA,Berkeley,Bancroft Way & Dana St.,23,U.C. Campus,2,"Bancroft Way & Dana St., Berkeley",U.C. Campus,37.8684577,-122.2619131,Bancroft Way & Dana St.,03,BNDA,BANCDANA,,BANC DANA,Berkeley,Bancroft Way & Dana St.,,,Bancroft Way & Dana St.,U.C. Campus,,,1,
BANC TELE,Berkeley,Bancroft Way & Telegraph Ave.,29,U.C. Campus,2,"Bancroft Way & Telegraph Ave., Berkeley",U.C. Campus,37.8686398,-122.2602285,Bancroft Way & Telegraph Ave.,03,BNTE,BANCTELE,,BANC TELE,Berkeley,Bancroft Way & Telegraph Ave.,,,,U.C. Campus,,,1,
DURT TELE,Berkeley,Durant Ave. & Telegraph Ave.,28,Durant Ave. & Telegraph Ave.,2,"Durant Ave. & Telegraph Ave., Berkeley","Durant Ave. & Telegraph Ave., Berkeley",37.8678393,-122.2586398,Durant Ave. & Telegraph Ave.,03,DUTE,DURTTELE,,DURT TELE,Berkeley,Durant Ave. & Telegraph Ave.,,,,,,,1,1
HRST EUCL,Berkeley,Hearst Ave. & Euclid Ave.,25,Hearst Ave. & Euclid Ave.,0,"Hearst Ave. & Euclid Ave., Berkeley","Hearst Ave. & Euclid Ave., Berkeley",37.8751283,-122.2603985,Hearst Ave. & Euclid Ave.,03,HREU,HRSTEUCL,,HRST EUCL,Berkeley,Hearst Ave. & Euclid Ave.,,,,,,,1,1
HRST LERO,Berkeley,Hearst Ave. & Le Roy Ave.,25,Hearst Ave. & Le Roy Ave.,2,"Hearst Ave. & Le Roy Ave., Berkeley","Hearst Ave. & Le Roy Ave., Berkeley",37.8752983,-122.2579698,Hearst Ave. & Le Roy Ave.,03,HRLE,HRSTLERO,,HRST LERO,Berkeley,Hearst Ave. & Le Roy Ave.,,,Hearst Ave. & Le Roy Ave.,,,,1,1
DWIG PIED,Berkeley,Dwight Way & Piedmont Ave.,26,Dwight Way & Piedmont Ave.,2,"Dwight Way & Piedmont Ave., Berkeley","Dwight Way & Piedmont Ave., Berkeley",37.8659146,-122.2510862,Dwight Way & Piedmont Ave.,03,DWPI,DWIGPIED,,DWIG PIED,Berkeley,Dwight Way & Piedmont Ave.,,,,,,,1,1
GRIZ SR.,Berkeley,Grizzly Peak Blvd. & Senior Ave.,32,Senior Ave. loop,1,"Grizzly Peak Blvd. & Senior Ave., Berkeley",Senior Ave. loop,37.8830346,-122.2489591,Grizzly Peak Blvd. & Senior Ave.,03,GRSR,GRIZSR.,,GRIZ SR.,Berkeley,Grizzly Peak Blvd. & Senior Ave.,,,Grizzly Peak Blvd. & Senior Ave.,Senior Ave. loop,,,1,
LAWR HALL,Berkeley,Lawrence Hall of Science,24,Lawrence Hall of Science,2,"Lawrence Hall of Science, Berkeley","Lawrence Hall of Science, Berkeley",37.8803518,-122.2467384,Lawrence Hall of Science,03,LAHA,LAWRHALL,,LAWR HALL,Berkeley,Lawrence Hall of Science,,,,,,,1,1
MONT COLU,Berkeley,Monterey Ave. & Colusa Ave.,27,Monterey Ave. & Colusa Ave.,1,"Monterey Ave. & Colusa Ave., Berkeley","Monterey Ave. & Colusa Ave., Berkeley",37.8871192,-122.2786173,Monterey Ave. & Colusa Ave.,03,MOCO,MONTCOLU,,MONT COLU,Berkeley,Monterey Ave. & Colusa Ave.,,,,,,,1,1
SOLA COLU,Berkeley,Solano Ave. & Colusa Ave.,25,Solano Ave. & Colusa Ave.,2,"Solano Ave. & Colusa Ave., Berkeley","Solano Ave. & Colusa Ave., Berkeley",37.8913516,-122.2795915,Solano Ave. & Colusa Ave.,03,SOCO,SOLACOLU,,SOLA COLU,Berkeley,Solano Ave. & Colusa Ave.,,,,,,,1,1
